rne_iso_code,year,month,mean_temp_celsius,total_precip_mm,month_start
MX-YUC,2005,9,27.921462656736228,35.17803907765535,2005-09-01
MX-YUC,2005,10,25.81146253875017,67.58676072239514,2005-10-01
MX-YUC,2005,11,24.689935131430346,11.38675764143941,2005-11-01
MX-YUC,2005,12,23.968047894365533,8.453733543765985,2005-12-01
MX-YUC,2006,1,23.675977373311774,8.197844950688085,2006-01-01
MX-YUC,2006,2,23.62175057642824,1.69496905784313,2006-02-01
MX-YUC,2006,3,25.893206997803286,4.11868509497322,2006-03-01
MX-YUC,2006,4,28.35621911985965,0.5692382564005245,2006-04-01
MX-YUC,2006,5,28.413012919764675,19.576578217985286,2006-05-01
MX-YUC,2006,6,28.10279102162055,34.62352759311466,2006-06-01
MX-YUC,2006,7,28.299373364604428,23.54407271951456,2006-07-01
MX-YUC,2006,8,28.120740851974144,32.42603415782088,2006-08-01
MX-YUC,2006,9,28.33401161925233,24.1105962337331,2006-09-01
MX-YUC,2006,10,27.609777639769522,23.958714640819487,2006-10-01
MX-YUC,2006,11,24.240888719306774,17.571967407854288,2006-11-01
MX-YUC,2006,12,23.986932416585162,25.992396481891,2006-12-01
MX-YUC,2007,1,24.60226445623276,9.017043865862076,2007-01-01
MX-YUC,2007,2,24.152334715301574,20.70790603195854,2007-02-01
MX-YUC,2007,3,25.489618421575884,5.0102823774252645,2007-03-01
MX-YUC,2007,4,26.96233783569826,3.4532967704964275,2007-04-01
MX-YUC,2007,5,27.847126061509588,17.341239570719424,2007-05-01
MX-YUC,2007,6,28.35522818840559,19.50060548048621,2007-06-01
MX-YUC,2007,7,28.91419687298512,16.00068447419448,2007-07-01
MX-YUC,2007,8,27.759192438659607,39.19957260314251,2007-08-01
MX-YUC,2007,9,27.17271385242506,41.56241740462856,2007-09-01
MX-YUC,2007,10,26.109216466054168,50.75801457597801,2007-10-01
MX-YUC,2007,11,24.02695043362274,5.359203611008757,2007-11-01
MX-YUC,2007,12,24.120127016106512,2.113824656229612,2007-12-01
MX-YUC,2008,1,23.202878477256252,7.048815297340258,2008-01-01
MX-YUC,2008,2,25.011548374437105,11.985881502217575,2008-02-01
MX-YUC,2008,3,24.936078170217144,11.437632361889762,2008-03-01
MX-YUC,2008,4,26.73273609701846,8.072217824078288,2008-04-01
MX-YUC,2008,5,29.13219338718694,12.857797310892911,2008-05-01
MX-YUC,2008,6,27.186301536546626,38.94716342084442,2008-06-01
MX-YUC,2008,7,27.686166299563148,29.18486292218764,2008-07-01
MX-YUC,2008,8,28.741714022206303,9.158716472807193,2008-08-01
MX-YUC,2008,9,27.96528768558262,47.339481340669224,2008-09-01
MX-YUC,2008,10,25.68274274389893,34.765559011810836,2008-10-01
MX-YUC,2008,11,22.939973099414413,1.6083441449910716,2008-11-01
MX-YUC,2008,12,23.212409830272538,4.310366399167249,2008-12-01
MX-YUC,2009,1,22.905977068992698,8.777274063653897,2009-01-01
MX-YUC,2009,2,23.562585020587544,2.9452677788271586,2009-02-01
MX-YUC,2009,3,24.982353706388725,2.220817689093788,2009-03-01
MX-YUC,2009,4,27.655747760733266,2.1922778555896834,2009-04-01
MX-YUC,2009,5,28.954154945681253,7.729389420373355,2009-05-01
MX-YUC,2009,6,28.800956268345768,29.763580706939585,2009-06-01
MX-YUC,2009,7,29.14383751416731,15.693542226778545,2009-07-01
MX-YUC,2009,8,28.542706071364623,25.162351751339223,2009-08-01
MX-YUC,2009,9,28.45204080157314,25.368774168545325,2009-09-01
MX-YUC,2009,10,28.193775679627894,15.039784144260235,2009-10-01
MX-YUC,2009,11,24.26265148769966,33.42513550024934,2009-11-01
MX-YUC,2009,12,24.22385257149978,9.364624868141338,2009-12-01
