predictor_lab,prediction_lead,series,origin_week,R2,R2_low,R2_high
sintomas de dengue,Lead 2,ARX (raw),2019-04-21,-4.705602988011246,-22.403556252430512,-1.5854647437309337
sintomas de dengue,Lead 2,ARX (raw),2019-04-28,-2.9439633797016205,-23.384864285965666,-0.8660334023782355
sintomas de dengue,Lead 2,ARX (raw),2019-05-05,-2.1422888843942967,-9.592031320689337,-0.6484480491433455
sintomas de dengue,Lead 2,ARX (raw),2019-05-12,-0.9884486964444001,-5.399613835552733,0.018836895415025503
sintomas de dengue,Lead 2,ARX (raw),2019-05-19,-0.5783383415784782,-4.486362915232977,0.13421147834721256
sintomas de dengue,Lead 2,ARX (raw),2019-05-26,-0.3550464447030748,-5.410618972610921,-0.00926020618611556
sintomas de dengue,Lead 2,ARX (raw),2019-06-02,-0.5582953435839284,-6.681640918171161,-0.16123659114085898
sintomas de dengue,Lead 2,ARX (raw),2019-06-09,-0.7176343773427354,-28.371329068533896,-0.2005965905779803
sintomas de dengue,Lead 2,ARX (raw),2019-06-16,-1.4225571466413616,-6.61766943818923,-0.9101081780318383
sintomas de dengue,Lead 2,ARX (raw),2019-06-23,-1.506056560985774,-6.380332241983243,-0.7021990903028571
sintomas de dengue,Lead 2,ARX (raw),2019-06-30,-1.841518201934651,-8.917318120084062,-0.5810906526157009
sintomas de dengue,Lead 2,ARX (raw),2019-07-07,-2.332284421367468,-23.698183930177873,-0.629281467120932
sintomas de dengue,Lead 2,ARX (raw),2019-07-14,-2.4913118422991007,-19.807500305983915,-0.809683858534284
sintomas de dengue,Lead 2,ARX (raw),2019-07-21,-1.5466958710892564,-7.659497543453968,-0.3743822632313756
sintomas de dengue,Lead 2,ARX (raw),2019-07-28,-1.6827496366333912,-7.513424352466034,-0.9434335559292231
sintomas de dengue,Lead 2,ARX (raw),2019-08-04,-1.1516850423011014,-6.719062474637859,-0.587097538347144
sintomas de dengue,Lead 2,ARX (raw),2019-08-11,-0.8100657419147674,-5.932584769256387,-0.2653214563373397
sintomas de dengue,Lead 2,ARX (raw),2019-08-18,-0.5671187395910244,-3.585398698147502,-0.002914208958831582
sintomas de dengue,Lead 2,ARX (raw),2019-08-25,-0.4459630626062987,-2.6358535356413793,0.16142424514008094
sintomas de dengue,Lead 2,ARX (raw),2019-09-01,-0.6102624087093589,-4.799173443651572,0.22279219583798004
sintomas de dengue,Lead 2,ARX (raw),2019-09-08,-0.5095687838508294,-5.221761025723199,0.2781843656418598
sintomas de dengue,Lead 2,ARX (raw),2019-09-15,-0.8808648966953438,-6.331674978772758,0.039254282822368765
sintomas de dengue,Lead 2,ARX (raw),2019-09-22,-1.169965602294111,-7.403536803547915,-0.02071873102606919
sintomas de dengue,Lead 2,ARX (raw),2019-09-29,-1.6802705240576348,-7.138951694960304,-0.6020919815840942
sintomas de dengue,Lead 2,ARX (raw),2019-10-06,-2.0961346286794984,-9.036711013507382,-0.4087030284022032
sintomas de dengue,Lead 2,ARX (raw),2019-10-13,-1.6240647605540364,-22.05589601843204,0.04427060292412917
sintomas de dengue,Lead 2,ARX (raw),2019-10-20,-0.7557290895977846,-16.556919749054533,0.5124451580524915
sintomas de dengue,Lead 2,ARX (raw),2019-10-27,-0.08035749275843584,-17.786835018782245,0.6014628818533772
sintomas de dengue,Lead 2,ARX (raw),2019-11-03,0.6046233742823581,-1.804212299580327,0.8122284634147572
sintomas de dengue,Lead 2,ARX (raw),2019-11-10,0.8390105926372166,0.25635573698987624,0.9214842498832349
sintomas de dengue,Lead 2,ARX (raw),2019-11-17,0.8752029175245915,0.5420915967987114,0.9334662596851877
sintomas de dengue,Lead 2,ARX (raw),2019-11-24,0.886312110515863,0.17911208607642864,0.9678283770651728
sintomas de dengue,Lead 2,ARX (processed),2017-12-24,NA,NA,NA
sintomas de dengue,Lead 2,ARX (processed),2017-12-31,NA,NA,NA
sintomas de dengue,Lead 2,ARX (processed),2018-01-07,NA,NA,NA
sintomas de dengue,Lead 2,ARX (processed),2018-01-14,NA,NA,NA
sintomas de dengue,Lead 2,ARX (processed),2018-01-21,NA,NA,NA
sintomas de dengue,Lead 2,ARX (processed),2018-01-28,NA,NA,NA
sintomas de dengue,Lead 2,ARX (processed),2018-02-04,NA,NA,NA
sintomas de dengue,Lead 2,ARX (processed),2018-02-11,-3.289439616300797,-14.33285087919602,-1.8489522941666567
sintomas de dengue,Lead 2,ARX (processed),2018-02-18,-1.9832336516131548,-8.864091389027266,-0.8961084259330692
sintomas de dengue,Lead 2,ARX (processed),2018-02-25,-1.3112147175181592,-5.130823523437547,-0.42365300209798007
sintomas de dengue,Lead 2,ARX (processed),2018-03-04,-1.5340517303648595,-20.16692772508859,-0.3300070539080261
sintomas de dengue,Lead 2,ARX (processed),2018-03-11,-1.1879322894379887,-20.393677908019328,-0.23935287609139705
sintomas de dengue,Lead 2,ARX (processed),2018-03-18,-2.0516405638809254,-26.641550793571945,-0.5033581295624734
sintomas de dengue,Lead 2,ARX (processed),2018-03-25,-3.4691107971872714,-59.41191622547079,-0.7325145412627891
sintomas de dengue,Lead 2,ARX (processed),2018-04-01,-2.941675890309944,-50.70458873908791,-0.702191622052698
sintomas de dengue,Lead 2,ARX (processed),2018-04-08,-2.5286061479240654,-21.473558498272695,-0.275357930503581
sintomas de dengue,Lead 2,ARX (processed),2018-04-15,-2.317069623191721,-17.876385110481678,-0.37596072227164984
sintomas de dengue,Lead 2,ARX (processed),2018-04-22,-2.271478196935947,-10.779416260231072,-0.2679438444415698
sintomas de dengue,Lead 2,ARX (processed),2018-04-29,-2.0609802196280538,-11.722506362882573,-0.32101370217187425
sintomas de dengue,Lead 2,ARX (processed),2018-05-06,-3.1985233594737172,-12.930753545912516,-1.0605416347797512
sintomas de dengue,Lead 2,ARX (processed),2018-05-13,-2.3632770996151886,-15.028487555800913,-0.6724169522570946
sintomas de dengue,Lead 2,ARX (processed),2018-05-20,-0.9538730225701262,-10.368960312449508,-0.05193043089698228
sintomas de dengue,Lead 2,ARX (processed),2018-05-27,-0.11588469179547833,-4.114186745889654,0.32161318297218777
sintomas de dengue,Lead 2,ARX (processed),2018-06-03,0.0639564698238756,-2.0218171370029285,0.4673925124380215
sintomas de dengue,Lead 2,ARX (processed),2018-06-10,-0.2107655004982425,-4.282588126178577,0.28587998097962186
sintomas de dengue,Lead 2,ARX (processed),2018-06-17,-0.633613262934065,-19.15211767267678,0.12676999894660018
sintomas de dengue,Lead 2,ARX (processed),2018-06-24,-1.8042899178070182,-35.316343670360425,-0.7063200811421038
sintomas de dengue,Lead 2,ARX (processed),2018-07-01,-4.018586643648597,-36.71360687525462,-1.6247716253756503
sintomas de dengue,Lead 2,ARX (processed),2018-07-08,-11.086307474535305,-37.21643016455373,-7.007172127223494
sintomas de dengue,Lead 2,ARX (processed),2018-07-15,-8.89757889615587,-35.41022026278765,-5.116436998761781
sintomas de dengue,Lead 2,ARX (processed),2018-07-22,-6.154965907502792,-26.367494139886908,-2.9309181130953563
sintomas de dengue,Lead 2,ARX (processed),2018-07-29,-1.8159460605166013,-15.829123822759247,-0.3592062527621534
sintomas de dengue,Lead 2,ARX (processed),2018-08-05,-0.47296614006357673,-12.41121258264726,0.1235011371334115
sintomas de dengue,Lead 2,ARX (processed),2018-08-12,-0.29834368665447775,-12.168782515323297,0.1531215583240975
sintomas de dengue,Lead 2,ARX (processed),2018-08-19,0.610159863017233,-1.9236554530313525,0.8423828014317962
sintomas de dengue,Lead 2,ARX (processed),2018-08-26,0.7275956182944703,-0.8190595126652738,0.8406635024333888
sintomas de dengue,Lead 2,ARX (processed),2018-09-02,0.7345029128594781,-0.08728714651504589,0.8030284817894109
sintomas de dengue,Lead 2,ARX (processed),2018-09-09,0.7462560831746767,0.43297748635159844,0.8228821384966649
sintomas de dengue,Lead 2,ARX (processed),2018-09-16,0.7190686130076418,0.2827325366279104,0.8292952264185567
sintomas de dengue,Lead 2,ARX (processed),2018-09-23,0.6541931165457292,-0.3921131661970779,0.7771733338731186
sintomas de dengue,Lead 2,ARX (processed),2018-09-30,0.5865779787371967,-0.5764187479272914,0.7781359207999544
sintomas de dengue,Lead 2,ARX (processed),2018-10-07,0.30569462229495203,-0.9336883161560006,0.619585991083784
sintomas de dengue,Lead 2,ARX (processed),2018-10-14,-0.01408370387319402,-3.1068002730497515,0.30077015099140336
sintomas de dengue,Lead 2,ARX (processed),2018-10-21,-0.5458985614883085,-4.042646508391831,0.01603896583439702
sintomas de dengue,Lead 2,ARX (processed),2018-10-28,-0.4305912297156458,-4.085292675714982,0.2619516869626315
sintomas de dengue,Lead 2,ARX (processed),2018-11-04,0.4649398487329438,-2.5359013098192182,0.7395562010583459
sintomas de dengue,Lead 2,ARX (processed),2018-11-11,0.7155509081307054,-0.842343540048758,0.8452006404900146
sintomas de dengue,Lead 2,ARX (processed),2018-11-18,0.8273271822692385,0.5329216350253825,0.8945677601400747
sintomas de dengue,Lead 2,ARX (processed),2018-11-25,0.8529665689377965,0.5688499863851146,0.9011400821337476
sintomas de dengue,Lead 2,ARX (processed),2018-12-02,0.8410332773012938,0.42105650163858105,0.9049924403045007
sintomas de dengue,Lead 2,ARX (processed),2018-12-09,0.8518657071293347,-0.15395432724852637,0.9273752079526976
sintomas de dengue,Lead 2,ARX (processed),2018-12-16,0.84002742729293145,0.049887451367278145,0.9632263962709189
sintomas de dengue,Lead 2,ARX (processed),2018-12-23,0.60953085102553906,-0.6405679373142292,0.8242966502172631
sintomas de dengue,Lead 2,ARX (processed),2018-12-30,0.34073581533531083,-1.973780267533905,0.7821036842254809
sintomas de dengue,Lead 2,ARX (processed),2019-01-06,-0.09998587470607734,-5.1021589966185985,0.6165489083896385
sintomas de dengue,Lead 2,ARX (processed),2019-01-13,-0.9179284064601534,-25.437276932245055,0.1305826585032353
sintomas de dengue,Lead 2,ARX (processed),2019-01-20,-2.3172448962279875,-43.46587822439172,-0.22064301161422067
sintomas de dengue,Lead 2,ARX (processed),2019-01-27,-2.80068724361886,-105.80108132560785,-0.3274432856504089
sintomas de dengue,Lead 2,ARX (processed),2019-02-03,-3.2294926815387077,-174.95613890486732,-0.48725749435018084
sintomas de dengue,Lead 2,ARX (processed),2019-02-10,-71.3549387938719,-317.6194660576158,-46.67263313283085
sintomas de dengue,Lead 2,ARX (processed),2019-02-17,-99.1297267551321,-898.9810824795678,-47.788269246487914
sintomas de dengue,Lead 2,ARX (processed),2019-02-24,-33.59000302417581,-226.03767581496317,-17.1644238475367
sintomas de dengue,Lead 2,ARX (processed),2019-03-03,-18.65359212213426,-148.37324339119797,-9.555080027834023
sintomas de dengue,Lead 2,ARX (processed),2019-03-10,-16.366468646837934,-220.68359386319048,-8.031888818561516
sintomas de dengue,Lead 2,ARX (processed),2019-03-17,-14.53714964685962,-143.732006017285,-7.122119375764577
sintomas de dengue,Lead 2,ARX (processed),2019-03-24,-12.862385196293738,-45.94199585903689,-5.9096898390508805
sintomas de dengue,Lead 2,ARX (processed),2019-03-31,-5.0655176290468615,-28.553640373581175,-1.9930122832956982
sintomas de dengue,Lead 2,ARX (processed),2019-04-07,-4.328604181033503,-25.554747180016484,-1.5843916868620278
sintomas de dengue,Lead 2,ARX (processed),2019-04-14,-4.3715993891291856,-24.872421728355675,-1.765664428613179
sintomas de dengue,Lead 2,ARX (processed),2019-04-21,-4.290035295808858,-27.35488969026497,-1.6768188243545825
sintomas de dengue,Lead 2,ARX (processed),2019-04-28,-2.761573084842953,-20.775819311167215,-1.0875585668430703
sintomas de dengue,Lead 2,ARX (processed),2019-05-05,-2.0333598120557865,-12.015284728072547,-0.5833319310656369
sintomas de dengue,Lead 2,ARX (processed),2019-05-12,-0.9262658667465085,-5.274352507578483,-0.08056911642701273
sintomas de dengue,Lead 2,ARX (processed),2019-05-19,-0.5156649459584284,-4.205350998075635,0.19737015670664254
sintomas de dengue,Lead 2,ARX (processed),2019-05-26,-0.31636870118776916,-4.813974483895992,0.00938052683826587
sintomas de dengue,Lead 2,ARX (processed),2019-06-02,-0.5159649764613485,-18.324858489278498,-0.04167188715623221
sintomas de dengue,Lead 2,ARX (processed),2019-06-09,-0.671362569268769,-16.205393536788513,-0.09491005018804874
sintomas de dengue,Lead 2,ARX (processed),2019-06-16,-1.3365683819527279,-17.62513553226583,-0.9595636010618962
sintomas de dengue,Lead 2,ARX (processed),2019-06-23,-1.4261377725992492,-4.284969124261315,-0.5846942367149168
sintomas de dengue,Lead 2,ARX (processed),2019-06-30,-1.7598150719804933,-17.477109757900134,-0.642752823137144
sintomas de dengue,Lead 2,ARX (processed),2019-07-07,-2.2196679651557414,-22.439188173764983,-0.6625638152085108
sintomas de dengue,Lead 2,ARX (processed),2019-07-14,-2.367342853014925,-21.85172112541187,-0.5499249096644829
sintomas de dengue,Lead 2,ARX (processed),2019-07-21,-1.4575460700168392,-9.952311943262744,-0.4678837008543978
sintomas de dengue,Lead 2,ARX (processed),2019-07-28,-1.6126126364540831,-9.677089923571305,-0.9042930292277493
sintomas de dengue,Lead 2,ARX (processed),2019-08-04,-1.129472935637649,-6.63560726609756,-0.5926105439137218
sintomas de dengue,Lead 2,ARX (processed),2019-08-11,-0.8310245205943358,-4.890649346294524,-0.2955972071207222
sintomas de dengue,Lead 2,ARX (processed),2019-08-18,-0.6356914618140688,-3.885106152551278,-0.07748786443461983
sintomas de dengue,Lead 2,ARX (processed),2019-08-25,-0.5767476955207467,-5.073002274688151,0.04899039679330339
sintomas de dengue,Lead 2,ARX (processed),2019-09-01,-0.8184674235950955,-4.9823132113432695,-0.020291137009979865
sintomas de dengue,Lead 2,ARX (processed),2019-09-08,-0.8452644176979665,-6.114377561381922,0.0024404063440292777
sintomas de dengue,Lead 2,ARX (processed),2019-09-15,-1.5128575841093213,-10.103433639207573,-0.49821896052740633
sintomas de dengue,Lead 2,ARX (processed),2019-09-22,-2.2783894139469583,-9.03456011316892,-0.9390055926350699
sintomas de dengue,Lead 2,ARX (processed),2019-09-29,-3.668474776535139,-11.864946645269125,-2.052779480750979
sintomas de dengue,Lead 2,ARX (processed),2019-10-06,-5.583994969163463,-18.743848133104507,-2.8035843491891534
sintomas de dengue,Lead 2,ARX (processed),2019-10-13,-6.264058378321301,-43.46264475994546,-3.1203489396847623
sintomas de dengue,Lead 2,ARX (processed),2019-10-20,-5.030525959841363,-37.85897650634636,-2.3207858637543444
sintomas de dengue,Lead 2,ARX (processed),2019-10-27,-2.4968767542654895,-30.28071350909549,-0.5022238845813145
sintomas de dengue,Lead 2,ARX (processed),2019-11-03,-0.28228318674732766,-9.889925737210369,0.5069170106115757
sintomas de dengue,Lead 2,ARX (processed),2019-11-10,0.3093514680314581,-2.2115558314469057,0.6247461450442888
sintomas de dengue,Lead 2,ARX (processed),2019-11-17,0.5106578646045319,-0.4625284755836758,0.6603549553530035
sintomas de dengue,Lead 2,ARX (processed),2019-11-24,0.6510155122829722,0.2912074313257827,0.7505555343460582
sintomas de dengue,Lead 3,AR,2017-12-24,NA,NA,NA
sintomas de dengue,Lead 3,AR,2017-12-31,NA,NA,NA
sintomas de dengue,Lead 3,AR,2018-01-07,NA,NA,NA
sintomas de dengue,Lead 3,AR,2018-01-14,NA,NA,NA
sintomas de dengue,Lead 3,AR,2018-01-21,NA,NA,NA
sintomas de dengue,Lead 3,AR,2018-01-28,NA,NA,NA
sintomas de dengue,Lead 3,AR,2018-02-04,NA,NA,NA
sintomas de dengue,Lead 3,AR,2018-02-11,-2.919347041636199,-13.728774531630478,-1.5778888395215835
sintomas de dengue,Lead 3,AR,2018-02-18,-2.8825912412246106,-10.591068122631162,-1.4870184772422053
sintomas de dengue,Lead 3,AR,2018-02-25,-2.7538351870861373,-25.663135261580457,-1.1067457393400237
sintomas de dengue,Lead 3,AR,2018-03-04,-2.0408590032988356,-14.91589630434076,-0.6413986122993145
sintomas de dengue,Lead 3,AR,2018-03-11,-3.276532741995938,-27.5893327393351,-0.8901450543593736
sintomas de dengue,Lead 3,AR,2018-03-18,-4.291794364904836,-78.74170620998248,-1.206088616933859
sintomas de dengue,Lead 3,AR,2018-03-25,-3.636049508664356,-50.008843342345415,-1.1478516007885875
sintomas de dengue,Lead 3,AR,2018-04-01,-3.4541329588116714,-30.571558829958718,-1.090544667286776
sintomas de dengue,Lead 3,AR,2018-04-08,-3.3692695029257926,-16.97802789054285,-1.2555025973800906
sintomas de dengue,Lead 3,AR,2018-04-15,-3.298420245722914,-13.750760835691384,-0.9348951967563675
sintomas de dengue,Lead 3,AR,2018-04-22,-2.9641840580166954,-21.828872101745095,-0.89603393334149
sintomas de dengue,Lead 3,AR,2018-04-29,-4.696693444169914,-27.291060060169222,-1.7078449780314733
sintomas de dengue,Lead 3,AR,2018-05-06,-3.5925695239214486,-18.610229799288312,-1.5640372774642466
sintomas de dengue,Lead 3,AR,2018-05-13,-1.8820163191710928,-17.869769566167943,-0.7102942385806534
sintomas de dengue,Lead 3,AR,2018-05-20,-0.7684838539925689,-5.941375144833707,-0.14036170553535088
sintomas de dengue,Lead 3,AR,2018-05-27,-0.47586787124988006,-3.4901632392025106,0.1111320374475741
sintomas de dengue,Lead 3,AR,2018-06-03,-0.9052627014015842,-5.331743504556703,-0.08350721390474372
sintomas de dengue,Lead 3,AR,2018-06-10,-1.5796559944616404,-10.892255756949835,-0.2834343746559622
sintomas de dengue,Lead 3,AR,2018-06-17,-3.2998218413300977,-49.85300477679555,-1.3856630353255528
sintomas de dengue,Lead 3,AR,2018-06-24,-6.6994976642110915,-61.25137165800051,-2.9178235788486013
sintomas de dengue,Lead 3,AR,2018-07-01,-18.764363504820658,-74.67468434442397,-11.899517813474834
sintomas de dengue,Lead 3,AR,2018-07-08,-15.189747960225919,-59.65955348060234,-8.194039900829372
sintomas de dengue,Lead 3,AR,2018-07-15,-10.716882591946549,-41.52714410701743,-5.189198164787792
sintomas de dengue,Lead 3,AR,2018-07-22,-3.8063163926335912,-25.20802530537579,-1.4663192773747746
sintomas de dengue,Lead 3,AR,2018-07-29,-1.2943916412412806,-24.231550304137254,-0.28886662034267946
sintomas de dengue,Lead 3,AR,2018-08-05,-0.9813260477137666,-9.726013202391416,-0.23740213085057327
sintomas de dengue,Lead 3,AR,2018-08-12,0.3438595956646633,-2.9975249514124997,0.6880537010093802
sintomas de dengue,Lead 3,AR,2018-08-19,0.6406306989060955,-2.3993390481097125,0.7935085538535744
sintomas de dengue,Lead 3,AR,2018-08-26,0.6241658347760957,-0.26314188580995235,0.750878683658832
sintomas de dengue,Lead 3,AR,2018-09-02,0.6157182114600965,0.14511135163743002,0.7302270433468624
sintomas de dengue,Lead 3,AR,2018-09-09,0.5427685851720015,-0.07482123911892091,0.683173740790129
