geo,origin_week,calendar_week,model,predictor,processing,max_lag,train_n,reporting_lag,n_leads,R2,MAPE
MX,2019-02-03,2019-03-03,arx,sintomas_de_dengue,processed,3,214,4,4,-263.8612122730327,48.90281934356453
MX,2019-02-03,2019-03-03,arx,sintomas_de_dengue,raw,3,214,4,4,-278.67657132329697,50.30485338287337
MX,2019-02-10,2019-03-10,ar,NA,processed,3,215,4,4,-45.50769232403345,48.21166694355286
MX,2019-02-10,2019-03-10,ar,NA,raw,3,215,4,4,-45.50769232403345,48.21166694355286
MX,2019-02-10,2019-03-10,arx,dengue,processed,3,215,4,4,-53.583819327376766,52.97386372348474
MX,2019-02-10,2019-03-10,arx,dengue,raw,3,215,4,4,-41.55082242593113,46.32046085625498
MX,2019-02-10,2019-03-10,arx,mosquito,processed,3,215,4,4,-43.94313693088004,47.31369891138229
MX,2019-02-10,2019-03-10,arx,mosquito,raw,3,215,4,4,-42.233681579869014,46.41437871428777
MX,2019-02-10,2019-03-10,arx,sintomas_de_dengue,processed,3,215,4,4,-39.735854392054264,45.04341589604115
MX,2019-02-10,2019-03-10,arx,sintomas_de_dengue,raw,3,215,4,4,-42.323204514522004,46.64792398673951
MX,2019-02-17,2019-03-17,ar,NA,processed,3,216,4,4,-11.272818665881381,42.0991626687867
MX,2019-02-17,2019-03-17,ar,NA,raw,3,216,4,4,-11.272818665881381,42.0991626687867
MX,2019-02-17,2019-03-17,arx,dengue,processed,3,216,4,4,-13.867109243855824,46.54491136183355
MX,2019-02-17,2019-03-17,arx,dengue,raw,3,216,4,4,-10.90614852376533,41.28515547400472
MX,2019-02-17,2019-03-17,arx,mosquito,processed,3,216,4,4,-10.66282216328429,40.94868289660289
MX,2019-02-17,2019-03-17,arx,mosquito,raw,3,216,4,4,-10.45024272786805,40.484554534497285
MX,2019-02-17,2019-03-17,arx,sintomas_de_dengue,processed,3,216,4,4,-9.138591547940093,37.8052309107119
MX,2019-02-17,2019-03-17,arx,sintomas_de_dengue,raw,3,216,4,4,-10.18473360735946,39.82758999004153
MX,2019-02-24,2019-03-24,ar,NA,processed,3,217,4,4,-11.476824223137646,41.17219029399356
