predictor,processing,model,max_lag,set,intercept,correlation,R2,MAPE
mosquito,processed,ar,1,train,1521.6772790629682,0.8030381199947032,0.6435883720850769,143.57938670478373
mosquito,processed,ar,1,test,NA,0.827802461572119,0.6720187327749151,47.78353490682373
mosquito,processed,arx,1,train,1574.047292161155,0.788146900312492,0.6175614200254194,118.78181972054855
mosquito,processed,arx,1,test,NA,0.7022170945813632,0.20675361819462823,297.8507481178449
mosquito,processed,ar,2,train,1494.5274483214346,0.9011341607283465,0.8117954397671302,141.01645658276684
mosquito,processed,ar,2,test,NA,0.9041033694680817,0.7848554637046985,49.16245689010111
mosquito,processed,arx,2,train,1593.3666671307979,0.8742495534463034,0.7641881226641132,251.169242645547
mosquito,processed,arx,2,test,NA,0.75422960840477,-0.8890543692744446,464.9413484504409
mosquito,processed,ar,3,train,1509.7705053275874,0.9001992260328829,0.8099383523433781,115.59780029500327
mosquito,processed,ar,3,test,NA,0.9067914672557614,0.7949326601180176,47.86516521450782
mosquito,processed,arx,3,train,1697.9580972229949,0.8678686526451653,0.7528784385194511,203.24059054862494
mosquito,processed,arx,3,test,NA,0.8051913622595314,-0.2729788710408898,364.2611706174877
sintomas_de_dengue,processed,ar,1,train,1521.6772790629682,0.8030381199947032,0.6435883720850769,143.57938670478373
sintomas_de_dengue,processed,ar,1,test,NA,0.827802461572119,0.6720187327749151,47.78353490682373
sintomas_de_dengue,processed,arx,1,train,1593.9213021524704,0.7996011648179514,0.6380993526709059,128.62540827473683
sintomas_de_dengue,processed,arx,1,test,NA,0.8278989176565918,0.6712127087983354,48.25857140153308
sintomas_de_dengue,processed,ar,2,train,1494.5274483214346,0.9011341607283465,0.8117954397671302,141.01645658276684
sintomas_de_dengue,processed,ar,2,test,NA,0.9041033694680817,0.7848554637046985,49.16245689010111
sintomas_de_dengue,processed,arx,2,train,1631.903941610652,0.900383850188527,0.8100621564020953,131.09887167972857
sintomas_de_dengue,processed,arx,2,test,NA,0.903215041816832,0.7841002945682779,51.26224304165527
sintomas_de_dengue,processed,ar,3,train,1509.7705053275874,0.9001992260328829,0.8099383523433781,115.59780029500327
sintomas_de_dengue,processed,ar,3,test,NA,0.9067914672557614,0.7949326601180176,47.86516521450782
sintomas_de_dengue,processed,arx,3,train,1684.110592571181,0.8983082238206214,0.8064556824047917,119.68767404879385
sintomas_de_dengue,processed,arx,3,test,NA,0.9053695757543093,0.7907984984477892,48.91470871861029
