adm_0_name,start_date,end_date,Year,T_res,dengue_total
MEXICO,2016-12-04,2016-12-10,2016,Week,1407
MEXICO,2016-12-11,2016-12-17,2016,Week,841
MEXICO,2016-12-18,2016-12-24,2016,Week,567
MEXICO,2016-12-25,2016-12-31,2016,Week,489
MEXICO,2017-01-01,2017-01-07,2017,Week,188
MEXICO,2017-01-08,2017-01-14,2017,Week,531
MEXICO,2017-01-15,2017-01-21,2017,Week,638
MEXICO,2017-01-22,2017-01-28,2017,Week,617
MEXICO,2017-01-29,2017-02-04,2017,Week,497
MEXICO,2017-02-05,2017-02-11,2017,Week,460
MEXICO,2017-02-12,2017-02-18,2017,Week,537
MEXICO,2017-02-19,2017-02-25,2017,Week,616
MEXICO,2017-02-26,2017-03-04,2017,Week,520
MEXICO,2017-03-05,2017-03-11,2017,Week,659
MEXICO,2017-03-12,2017-03-18,2017,Week,635
MEXICO,2017-03-19,2017-03-25,2017,Week,563
MEXICO,2017-03-26,2017-04-01,2017,Week,700
MEXICO,2017-04-02,2017-04-08,2017,Week,661
MEXICO,2017-04-09,2017-04-15,2017,Week,400
MEXICO,2017-04-16,2017-04-22,2017,Week,479
MEXICO,2017-04-23,2017-04-29,2017,Week,704
MEXICO,2017-04-30,2017-05-06,2017,Week,498
MEXICO,2017-05-07,2017-05-13,2017,Week,582
MEXICO,2017-05-14,2017-05-20,2017,Week,722
MEXICO,2017-05-21,2017-05-27,2017,Week,821
MEXICO,2017-05-28,2017-06-03,2017,Week,977
MEXICO,2017-06-04,2017-06-10,2017,Week,1146
MEXICO,2017-06-11,2017-06-17,2017,Week,1288
MEXICO,2017-06-18,2017-06-24,2017,Week,1394
MEXICO,2017-06-25,2017-07-01,2017,Week,1392
MEXICO,2017-07-02,2017-07-08,2017,Week,1451
MEXICO,2017-07-09,2017-07-15,2017,Week,1236
MEXICO,2017-07-16,2017-07-22,2017,Week,1314
MEXICO,2017-07-23,2017-07-29,2017,Week,1316
MEXICO,2017-07-30,2017-08-05,2017,Week,1249
MEXICO,2017-08-06,2017-08-12,2017,Week,1533
MEXICO,2017-08-13,2017-08-19,2017,Week,1978
MEXICO,2017-08-20,2017-08-26,2017,Week,2217
MEXICO,2017-08-27,2017-09-02,2017,Week,3112
MEXICO,2017-09-03,2017-09-09,2017,Week,3982
MEXICO,2017-09-10,2017-09-16,2017,Week,3942
MEXICO,2017-09-17,2017-09-23,2017,Week,3342
MEXICO,2017-09-24,2017-09-30,2017,Week,4334
MEXICO,2017-10-01,2017-10-07,2017,Week,4517
MEXICO,2017-10-08,2017-10-14,2017,Week,4949
MEXICO,2017-10-15,2017-10-21,2017,Week,5047
MEXICO,2017-10-22,2017-10-28,2017,Week,4789
MEXICO,2017-10-29,2017-11-04,2017,Week,4223
MEXICO,2017-11-05,2017-11-11,2017,Week,4423
MEXICO,2017-11-12,2017-11-18,2017,Week,4492
MEXICO,2017-11-19,2017-11-25,2017,Week,2734
MEXICO,2017-11-26,2017-12-02,2017,Week,2492
MEXICO,2017-12-03,2017-12-09,2017,Week,1535
MEXICO,2017-12-10,2017-12-16,2017,Week,826
MEXICO,2017-12-17,2017-12-23,2017,Week,375
MEXICO,2017-12-24,2017-12-30,2017,Week,260
MEXICO,2017-12-31,2018-01-06,2017,Week,68
MEXICO,2018-01-07,2018-01-13,2018,Week,280
MEXICO,2018-01-14,2018-01-20,2018,Week,301
MEXICO,2018-01-21,2018-01-27,2018,Week,339
MEXICO,2018-01-28,2018-02-03,2018,Week,307
MEXICO,2018-02-04,2018-02-10,2018,Week,290
MEXICO,2018-02-11,2018-02-17,2018,Week,360
MEXICO,2018-02-18,2018-02-24,2018,Week,414
MEXICO,2018-02-25,2018-03-03,2018,Week,429
MEXICO,2018-03-04,2018-03-10,2018,Week,488
MEXICO,2018-03-11,2018-03-17,2018,Week,469
MEXICO,2018-03-18,2018-03-24,2018,Week,438
MEXICO,2018-03-25,2018-03-31,2018,Week,275
MEXICO,2018-04-01,2018-04-07,2018,Week,405
MEXICO,2018-04-08,2018-04-14,2018,Week,455
MEXICO,2018-04-15,2018-04-21,2018,Week,604
MEXICO,2018-04-22,2018-04-28,2018,Week,571
MEXICO,2018-04-29,2018-05-05,2018,Week,443
MEXICO,2018-05-06,2018-05-12,2018,Week,534
MEXICO,2018-05-13,2018-05-19,2018,Week,601
MEXICO,2018-05-20,2018-05-26,2018,Week,730
MEXICO,2018-05-27,2018-06-02,2018,Week,831
MEXICO,2018-06-03,2018-06-09,2018,Week,1013
MEXICO,2018-06-10,2018-06-16,2018,Week,1116
MEXICO,2018-06-17,2018-06-23,2018,Week,1160
MEXICO,2018-06-24,2018-06-30,2018,Week,1083
MEXICO,2018-07-01,2018-07-07,2018,Week,1127
MEXICO,2018-07-08,2018-07-14,2018,Week,1217
MEXICO,2018-07-15,2018-07-21,2018,Week,1239
MEXICO,2018-07-22,2018-07-28,2018,Week,1250
MEXICO,2018-07-29,2018-08-04,2018,Week,1371
MEXICO,2018-08-05,2018-08-11,2018,Week,1382
MEXICO,2018-08-12,2018-08-18,2018,Week,1621
MEXICO,2018-08-19,2018-08-25,2018,Week,1942
MEXICO,2018-08-26,2018-09-01,2018,Week,1831
MEXICO,2018-09-02,2018-09-08,2018,Week,2681
MEXICO,2018-09-09,2018-09-15,2018,Week,3079
MEXICO,2018-09-16,2018-09-22,2018,Week,3357
MEXICO,2018-09-23,2018-09-29,2018,Week,3824
MEXICO,2018-09-30,2018-10-06,2018,Week,4123
MEXICO,2018-10-07,2018-10-13,2018,Week,4878
MEXICO,2018-10-14,2018-10-20,2018,Week,4982
MEXICO,2018-10-21,2018-10-27,2018,Week,4777
MEXICO,2018-10-28,2018-11-03,2018,Week,3719
MEXICO,2018-11-04,2018-11-10,2018,Week,4240
MEXICO,2018-11-11,2018-11-17,2018,Week,3375
MEXICO,2018-11-18,2018-11-24,2018,Week,2178
MEXICO,2018-11-25,2018-12-01,2018,Week,1821
MEXICO,2018-12-02,2018-12-08,2018,Week,1677
MEXICO,2018-12-09,2018-12-15,2018,Week,1464
MEXICO,2018-12-16,2018-12-22,2018,Week,981
