predictor_lab,prediction_lead,series,origin_week,R2,R2_low,R2_high
mosquito,Lead 3,ARX (processed),2019-08-04,-1.6479272717883044,-5.635958467278481,-0.7775597919488471
mosquito,Lead 3,ARX (processed),2019-08-11,-1.7451137307140745,-4.737207599347611,-1.0029246704718835
mosquito,Lead 3,ARX (processed),2019-08-18,-1.1381598202207641,-4.638901339642018,-0.6166510025167312
mosquito,Lead 3,ARX (processed),2019-08-25,-0.7849754678342615,-10.558351320148246,-0.2609903038424852
mosquito,Lead 3,ARX (processed),2019-09-01,-1.1200284601718913,-9.896654766436987,-0.1625928645304467
mosquito,Lead 3,ARX (processed),2019-09-08,-4.057658020439332,-22.20953225211393,-1.9469702844824233
mosquito,Lead 3,ARX (processed),2019-09-15,-7.573104761575918,-29.87857778242002,-4.673847461614459
mosquito,Lead 3,ARX (processed),2019-09-22,-10.258089816336884,-35.481040234393895,-5.4809510826142205
mosquito,Lead 3,ARX (processed),2019-09-29,-11.305135492327286,-50.772011785845066,-5.884649650561029
mosquito,Lead 3,ARX (processed),2019-10-06,-13.72815779448032,-70.94682296881581,-6.551158593481267
mosquito,Lead 3,ARX (processed),2019-10-13,-18.059320185417985,-85.44231936994363,-11.149422968205364
mosquito,Lead 3,ARX (processed),2019-10-20,-18.179083084050735,-86.62963093475453,-11.578464925250781
mosquito,Lead 3,ARX (processed),2019-10-27,-9.888107938951956,-100.01262142241951,-5.607081401119059
mosquito,Lead 3,ARX (processed),2019-11-03,-8.072016522412563,-29.534266112590977,-5.750395863498332
mosquito,Lead 3,ARX (processed),2019-11-10,-4.059986756853429,-16.580045638822774,-1.4628706457014191
mosquito,Lead 3,ARX (processed),2019-11-17,-2.458376093966177,-13.124434905364197,-1.0395032168748553
mosquito,Lead 3,ARX (processed),2019-11-24,-4.188161820088666,-17.466247458720733,-1.6773279743966032
mosquito,Lead 4,AR,2017-12-24,NA,NA,NA
mosquito,Lead 4,AR,2017-12-31,NA,NA,NA
mosquito,Lead 4,AR,2018-01-07,NA,NA,NA
mosquito,Lead 4,AR,2018-01-14,NA,NA,NA
mosquito,Lead 4,AR,2018-01-21,NA,NA,NA
mosquito,Lead 4,AR,2018-01-28,NA,NA,NA
mosquito,Lead 4,AR,2018-02-04,NA,NA,NA
mosquito,Lead 4,AR,2018-02-11,-3.2733239849419418,-14.510800652744027,-0.6495555313815796
mosquito,Lead 4,AR,2018-02-18,-1.5965430832543084,-7.913552566483487,-0.42417770920642095
mosquito,Lead 4,AR,2018-02-25,-1.5425497780968125,-13.916872431945004,-0.3353032507905732
mosquito,Lead 4,AR,2018-03-04,-2.266364935286817,-15.259055109104713,-0.8304687125832565
mosquito,Lead 4,AR,2018-03-11,-3.206999873917087,-14.648599684921454,-1.840044360831362
mosquito,Lead 4,AR,2018-03-18,-4.847871926549897,-20.906205758796396,-3.4682219276779733
mosquito,Lead 4,AR,2018-03-25,-6.589375979676164,-15.449430383751181,-4.775385342440703
mosquito,Lead 4,AR,2018-04-01,-8.250245967361732,-22.634100777831396,-5.337746125999865
mosquito,Lead 4,AR,2018-04-08,-10.335196701580463,-32.75311829714325,-5.382028213516102
mosquito,Lead 4,AR,2018-04-15,-9.639170356525167,-35.547491929916006,-5.908369047465001
mosquito,Lead 4,AR,2018-04-22,-5.197055066915147,-30.078299063367947,-2.2340307284442082
mosquito,Lead 4,AR,2018-04-29,-2.0402021492162654,-17.102063021757584,-0.5419756244500955
mosquito,Lead 4,AR,2018-05-06,-1.1337567812144784,-8.654648627895323,-0.2039935378981041
mosquito,Lead 4,AR,2018-05-13,-0.7807466333657958,-4.0079984794747565,-0.1876965886185163
mosquito,Lead 4,AR,2018-05-20,-0.36647571072829943,-2.8120524653201047,0.016987933126244796
mosquito,Lead 4,AR,2018-05-27,-0.0636117688661042,-1.5586070248089734,0.2542082987954238
mosquito,Lead 4,AR,2018-06-03,0.07697456355321441,-1.7127527535221243,0.34898233847894755
mosquito,Lead 4,AR,2018-06-10,0.20354741936163312,-1.1375469432792502,0.5126497454772388
mosquito,Lead 4,AR,2018-06-17,0.21309735864517776,-1.1216898639411,0.5258475688027234
mosquito,Lead 4,AR,2018-06-24,0.29482874282598603,-0.9756131041914428,0.5713083150373565
mosquito,Lead 4,AR,2018-07-01,0.2866070234386531,-1.6291534102860998,0.5113747484391931
mosquito,Lead 4,AR,2018-07-08,0.22732588381430807,-1.5072693671734727,0.5462959559732068
mosquito,Lead 4,AR,2018-07-15,0.052898475457763605,-1.8004688193958924,0.47601439467526935
mosquito,Lead 4,AR,2018-07-22,-0.07232297401176457,-5.478723725293483,0.27265181888464896
mosquito,Lead 4,AR,2018-07-29,-0.040141982186192804,-3.1645528552537128,0.45191473794736625
mosquito,Lead 4,AR,2018-08-05,0.23929058653908986,-1.529168394699896,0.49609170620622445
mosquito,Lead 4,AR,2018-08-12,0.289159576957951,-3.3632971317668012,0.48927801577900176
mosquito,Lead 4,AR,2018-08-19,0.32693892873779473,-2.092213311737903,0.4657783698106396
mosquito,Lead 4,AR,2018-08-26,0.30841015142586037,-1.1624162152726432,0.4162865771963701
mosquito,Lead 4,AR,2018-09-02,0.16545769160405321,-1.7108325584722035,0.4212944881155076
mosquito,Lead 4,AR,2018-09-09,0.1185523775878532,-1.9278878585276829,0.3242707405901557
mosquito,Lead 4,AR,2018-09-16,0.23553716470449693,-1.037652261395887,0.3842392895491942
mosquito,Lead 4,AR,2018-09-23,0.16863370832327484,-1.1265387122232373,0.3841223508444688
mosquito,Lead 4,AR,2018-09-30,-0.2962864929039304,-2.4098901675506035,0.1511291190389851
mosquito,Lead 4,AR,2018-10-07,-0.6176331961738948,-3.089024538327009,-0.021708797297974168
mosquito,Lead 4,AR,2018-10-14,-1.0145416301927903,-4.374401288131003,-0.21168568654916242
mosquito,Lead 4,AR,2018-10-21,-1.1818964586289282,-4.961087618704942,-0.5107134276847631
mosquito,Lead 4,AR,2018-10-28,-1.1442995395126534,-6.549981105674063,-0.43488944937962437
mosquito,Lead 4,AR,2018-11-04,-1.54130023466492,-6.9309628826711265,-0.9473235632289803
mosquito,Lead 4,AR,2018-11-11,-1.6832102006637264,-7.000061082544285,-0.8689747307217955
mosquito,Lead 4,AR,2018-11-18,-2.8136781466666094,-13.265585359847833,-1.4547479551884417
mosquito,Lead 4,AR,2018-11-25,-2.3530840808692233,-13.4864202884921,-0.8520641691275934
mosquito,Lead 4,AR,2018-12-02,-1.212625604461942,-9.272564308997312,-0.5480289396583646
mosquito,Lead 4,AR,2018-12-09,-1.068631719386138,-9.042627038411073,-0.41987466477141466
mosquito,Lead 4,AR,2018-12-16,-1.0780871045203617,-3.864528053355576,-0.4299992408539123
mosquito,Lead 4,AR,2018-12-23,-1.1361629418458383,-4.7871322603412905,-0.4124747671823238
mosquito,Lead 4,AR,2018-12-30,-1.2487409912677379,-5.194037703945124,-0.4345505053304318
mosquito,Lead 4,AR,2019-01-06,-1.4752834120798748,-7.727651691736286,-0.48038142034892717
mosquito,Lead 4,AR,2019-01-13,-2.0858353370963174,-10.432316465461636,-0.7570612420211872
mosquito,Lead 4,AR,2019-01-20,-3.868428889112989,-12.62136517846223,-1.9443419538880982
mosquito,Lead 4,AR,2019-01-27,-5.687244016015239,-25.53987171917405,-3.07836351795399
mosquito,Lead 4,AR,2019-02-03,-8.012405448249734,-47.053392694151974,-4.0798466170213725
mosquito,Lead 4,AR,2019-02-10,-8.551879777161636,-38.41296905978281,-4.181725417459195
mosquito,Lead 4,AR,2019-02-17,-7.087045756666676,-41.01905927477246,-4.230785391841606
mosquito,Lead 4,AR,2019-02-24,-6.103053581794967,-25.45314905403255,-4.281000537104429
mosquito,Lead 4,AR,2019-03-03,-5.263156825030641,-17.641741578384547,-3.814633308971878
mosquito,Lead 4,AR,2019-03-10,-4.747077230758617,-16.746913434074038,-2.946588902185762
mosquito,Lead 4,AR,2019-03-17,-4.787915840350487,-21.35924460842623,-2.3788044179285723
mosquito,Lead 4,AR,2019-03-24,-5.225413471595161,-26.752621896882225,-2.078099570318485
mosquito,Lead 4,AR,2019-03-31,-6.776356044838295,-28.06486587626152,-3.520539022430045
mosquito,Lead 4,AR,2019-04-07,-8.4031905280019,-35.10828753133074,-4.127448810945609
mosquito,Lead 4,AR,2019-04-14,-12.17850212002065,-40.963111046487064,-7.481669017393511
mosquito,Lead 4,AR,2019-04-21,-16.22976068550769,-41.154314636235924,-9.315392704341512
mosquito,Lead 4,AR,2019-04-28,-8.192267547182905,-41.77990234546526,-3.2548883523798833
mosquito,Lead 4,AR,2019-05-05,-2.946496166469489,-27.750534355796162,-1.532116247631274
mosquito,Lead 4,AR,2019-05-12,-1.3309121132272526,-8.14532215162405,-0.8646969373684658
mosquito,Lead 4,AR,2019-05-19,-0.6069215750794055,-4.153917072476363,-0.1306645118351943
mosquito,Lead 4,AR,2019-05-26,-0.3871353641588813,-4.406271526321864,0.16125731491031936
mosquito,Lead 4,AR,2019-06-02,-0.48785528098397024,-8.443030042780688,0.4684094793006728
mosquito,Lead 4,AR,2019-06-09,-0.9984270426947834,-15.436245306429068,0.2719845616706552
mosquito,Lead 4,AR,2019-06-16,-2.049638717672994,-15.430228467570954,-0.25415307718848335
mosquito,Lead 4,AR,2019-06-23,-3.7622678925202706,-14.76137404062895,-1.505154197992449
mosquito,Lead 4,AR,2019-06-30,-4.921653576538089,-15.608650246591555,-2.9077036515277075
mosquito,Lead 4,AR,2019-07-07,-5.536607083137965,-16.431321652444247,-3.825859122194805
mosquito,Lead 4,AR,2019-07-14,-4.212564324743726,-13.326928071992151,-2.5248440149728144
mosquito,Lead 4,AR,2019-07-21,-4.484778130669934,-14.624768917293569,-2.79837466269128
mosquito,Lead 4,AR,2019-07-28,-4.947832500556207,-15.108674619304544,-3.048206080178659
mosquito,Lead 4,AR,2019-08-04,-4.481409397836195,-12.567266452883004,-2.4093220414919436
mosquito,Lead 4,AR,2019-08-11,-4.525989084937848,-11.276941731618813,-1.7667942254698907
mosquito,Lead 4,AR,2019-08-18,-2.5996400559272743,-9.701135675224124,-1.0302123723469818
mosquito,Lead 4,AR,2019-08-25,-0.7285372599476396,-6.1037013349113245,0.03484432758816388
mosquito,Lead 4,AR,2019-09-01,-1.0890986524148185,-8.686577087907063,-0.12121986501929435
mosquito,Lead 4,AR,2019-09-08,-1.030416709991695,-10.887453291237108,0.0630634352366139
