geo,origin_week,model,predictor,processing,max_lag,train_n,n_leads,R2,MAPE
MX,2017-02-12,ar,NA,raw,3,111,8,-24.189857987767198,70.53838374303402
MX,2017-02-12,arx,dengue,processed,1,111,8,-29.645080376477043,77.12556640318353
MX,2017-02-12,arx,dengue,processed,2,111,8,-33.476636797932414,69.26340447238721
MX,2017-02-12,arx,dengue,processed,3,111,8,-51.40561434748792,93.73863791159653
MX,2017-02-12,arx,dengue,raw,1,111,8,-50.162531305959746,95.59782792245349
MX,2017-02-12,arx,dengue,raw,2,111,8,-89.65800571331451,108.59652834534477
MX,2017-02-12,arx,dengue,raw,3,111,8,-85.09678873644555,114.98454841329968
MX,2017-02-12,arx,mosquito,processed,1,111,8,-18.488527191866837,62.87819576609935
MX,2017-02-12,arx,mosquito,processed,2,111,8,-8.644813768159535,43.428169722634834
MX,2017-02-12,arx,mosquito,processed,3,111,8,-35.91725791536807,86.90906407838847
MX,2017-02-12,arx,mosquito,raw,1,111,8,-26.947372533564465,74.71264777135565
MX,2017-02-12,arx,mosquito,raw,2,111,8,-18.86700582871698,60.93429025143878
MX,2017-02-12,arx,mosquito,raw,3,111,8,-42.873937372913275,93.33454059003802
MX,2017-02-12,arx,sintomas_de_dengue,processed,1,111,8,-13.091515596831048,52.77813121617099
MX,2017-02-12,arx,sintomas_de_dengue,processed,2,111,8,-13.12827886235216,51.43882413541451
MX,2017-02-12,arx,sintomas_de_dengue,processed,3,111,8,-40.79435515089336,90.20088600561611
MX,2017-02-12,arx,sintomas_de_dengue,raw,1,111,8,-23.94086762620963,70.8143558164965
MX,2017-02-12,arx,sintomas_de_dengue,raw,2,111,8,-17.21654565527646,55.45513491410823
MX,2017-02-12,arx,sintomas_de_dengue,raw,3,111,8,-30.349468475124656,74.51983227248495
MX,2017-02-19,ar,NA,processed,1,112,8,-27.269847790952678,87.7909724199601
MX,2017-02-19,ar,NA,processed,2,112,8,-14.890843991497546,65.23379790133002
MX,2017-02-19,ar,NA,processed,3,112,8,-30.862542390237678,93.08313404823255
MX,2017-02-19,ar,NA,raw,1,112,8,-27.269847790952678,87.7909724199601
MX,2017-02-19,ar,NA,raw,2,112,8,-14.890843991497546,65.23379790133002
MX,2017-02-19,ar,NA,raw,3,112,8,-30.862542390237678,93.08313404823255
MX,2017-02-19,arx,dengue,processed,1,112,8,-31.194926579707136,92.94782813626932
MX,2017-02-19,arx,dengue,processed,2,112,8,-29.765585364976598,73.22010346952781
MX,2017-02-19,arx,dengue,processed,3,112,8,-59.5496948321839,119.83079794424502
MX,2017-02-19,arx,dengue,raw,1,112,8,-50.976637365871554,114.12137494109385
MX,2017-02-19,arx,dengue,raw,2,112,8,-79.0297198873786,118.74392834239052
MX,2017-02-19,arx,dengue,raw,3,112,8,-84.23448867221427,135.8690902141737
MX,2017-02-19,arx,mosquito,processed,1,112,8,-23.338706167589987,81.30225284739913
MX,2017-02-19,arx,mosquito,processed,2,112,8,-15.003904072313155,63.746558463819234
MX,2017-02-19,arx,mosquito,processed,3,112,8,-45.167342334434416,111.25760699697203
MX,2017-02-19,arx,mosquito,raw,1,112,8,-30.24858842165078,91.7523375508755
MX,2017-02-19,arx,mosquito,raw,2,112,8,-26.25501701387758,82.62254365084945
MX,2017-02-19,arx,mosquito,raw,3,112,8,-53.49761080719941,120.07726047981242
MX,2017-02-19,arx,sintomas_de_dengue,processed,1,112,8,-18.550535709340764,71.73950788994703
MX,2017-02-19,arx,sintomas_de_dengue,processed,2,112,8,-21.339449702490473,76.45328139006429
MX,2017-02-19,arx,sintomas_de_dengue,processed,3,112,8,-50.230446129078935,117.13988315781678
MX,2017-02-19,arx,sintomas_de_dengue,raw,1,112,8,-28.24110806308601,89.13553116092878
MX,2017-02-19,arx,sintomas_de_dengue,raw,2,112,8,-26.741607932917404,82.71455204015949
MX,2017-02-19,arx,sintomas_de_dengue,raw,3,112,8,-40.58568214091762,102.4161972143824
MX,2017-02-26,ar,NA,processed,1,113,8,-15.815659718381912,66.41233240978067
MX,2017-02-26,ar,NA,processed,2,113,8,-7.930887899884517,47.922513800657846
MX,2017-02-26,ar,NA,processed,3,113,8,-16.67521775478281,67.09715129030064
MX,2017-02-26,ar,NA,raw,1,113,8,-15.815659718381912,66.41233240978067
MX,2017-02-26,ar,NA,raw,2,113,8,-7.930887899884517,47.922513800657846
MX,2017-02-26,ar,NA,raw,3,113,8,-16.67521775478281,67.09715129030064
MX,2017-02-26,arx,dengue,processed,1,113,8,-17.420665096350906,69.4866572083411
MX,2017-02-26,arx,dengue,processed,2,113,8,-19.579500304851546,55.232563966527636
MX,2017-02-26,arx,dengue,processed,3,113,8,-75.58118972736442,120.98786185944117
MX,2017-02-26,arx,dengue,raw,1,113,8,-33.779699088586945,93.17296670826043
MX,2017-02-26,arx,dengue,raw,2,113,8,-61.28963014555866,104.55161190865229
MX,2017-02-26,arx,dengue,raw,3,113,8,-114.09867959023073,148.03163412670642
MX,2017-02-26,arx,mosquito,processed,1,113,8,-12.96820956359134,60.13157487505497
MX,2017-02-26,arx,mosquito,processed,2,113,8,-7.014018835391834,43.29947937499307
MX,2017-02-26,arx,mosquito,processed,3,113,8,-23.982833705626224,79.36774665231768
MX,2017-02-26,arx,mosquito,raw,1,113,8,-18.223373035733836,71.17271951763067
MX,2017-02-26,arx,mosquito,raw,2,113,8,-16.178189927741535,65.73216833877004
MX,2017-02-26,arx,mosquito,raw,3,113,8,-34.38915433905715,94.46248989826924
MX,2017-02-26,arx,sintomas_de_dengue,processed,1,113,8,-9.566680699873686,50.81267985185064
MX,2017-02-26,arx,sintomas_de_dengue,processed,2,113,8,-11.766146364681878,59.75990584042755
MX,2017-02-26,arx,sintomas_de_dengue,processed,3,113,8,-31.491918460631773,94.37102700646935
MX,2017-02-26,arx,sintomas_de_dengue,raw,1,113,8,-17.15407351169033,69.19422883772192
MX,2017-02-26,arx,sintomas_de_dengue,raw,2,113,8,-21.29989398869309,78.99634133752001
MX,2017-02-26,arx,sintomas_de_dengue,raw,3,113,8,-33.512638861229604,97.29021483105342
MX,2017-03-05,ar,NA,processed,1,114,8,-24.761274046922956,91.21252586625506
MX,2017-03-05,ar,NA,processed,2,114,8,-14.32398271021148,69.88522581204933
MX,2017-03-05,ar,NA,processed,3,114,8,-24.924323924048075,90.16731411748098
MX,2017-03-05,ar,NA,raw,1,114,8,-24.761274046922956,91.21252586625506
MX,2017-03-05,ar,NA,raw,2,114,8,-14.32398271021148,69.88522581204933
MX,2017-03-05,ar,NA,raw,3,114,8,-24.924323924048075,90.16731411748098
MX,2017-03-05,arx,dengue,processed,1,114,8,-25.832837616142992,93.86224859823847
MX,2017-03-05,arx,dengue,processed,2,114,8,-23.0271462229525,69.85852785670721
MX,2017-03-05,arx,dengue,processed,3,114,8,-78.70807174282888,139.78059523094694
MX,2017-03-05,arx,dengue,raw,1,114,8,-43.91431307872679,119.57201405599542
MX,2017-03-05,arx,dengue,raw,2,114,8,-67.2391455764975,126.64299980783906
MX,2017-03-05,arx,dengue,raw,3,114,8,-110.47275491914955,161.9391010528406
MX,2017-03-05,arx,mosquito,processed,1,114,8,-21.966655645960248,85.75460423605635
MX,2017-03-05,arx,mosquito,processed,2,114,8,-12.121268268508285,63.965575611302114
MX,2017-03-05,arx,mosquito,processed,3,114,8,-34.19441402479269,105.35769283689744
MX,2017-03-05,arx,mosquito,raw,1,114,8,-27.575775507134626,96.36565820147497
MX,2017-03-05,arx,mosquito,raw,2,114,8,-25.00983122341154,91.37369449806818
MX,2017-03-05,arx,mosquito,raw,3,114,8,-44.22570703451625,119.46508850106908
MX,2017-03-05,arx,sintomas_de_dengue,processed,1,114,8,-24.18585933998144,89.44235368300521
MX,2017-03-05,arx,sintomas_de_dengue,processed,2,114,8,-17.517229243126394,80.13290866220171
