geo,model,predictor,processing,max_lag,prediction_lead,n_origins,R2,MAPE
MX,arx,mosquito,processed,2,1,149,0.9659047488924926,27.93045197055924
MX,arx,mosquito,processed,2,2,149,0.905707035399177,43.574551764733954
MX,arx,mosquito,processed,2,3,149,0.7916985407392801,63.838007557537914
MX,arx,mosquito,processed,2,4,149,0.6424996138728518,85.20440765079813
MX,arx,mosquito,processed,2,5,149,0.46574045741418046,107.88187007322898
MX,arx,mosquito,processed,2,6,149,0.2710212146405774,130.62200896283503
MX,arx,mosquito,processed,2,7,149,0.046750808390680465,165.0212855899862
MX,arx,mosquito,processed,2,8,149,-0.20294394411506778,188.24307198518656
MX,arx,mosquito,processed,3,1,149,0.9712098042204571,25.5862433983446
MX,arx,mosquito,processed,3,2,149,0.9288106318556699,40.08292998582333
MX,arx,mosquito,processed,3,3,149,0.8414630101279663,61.72263745010407
MX,arx,mosquito,processed,3,4,149,0.7201945271826493,85.13920571080565
MX,arx,mosquito,processed,3,5,149,0.5737526181584034,106.52894530303911
MX,arx,mosquito,processed,3,6,149,0.4187157154674209,129.02928796581435
MX,arx,mosquito,processed,3,7,149,0.23693786903180092,168.88147398922217
MX,arx,mosquito,processed,3,8,149,0.04628647305699418,188.75221978987892
MX,arx,mosquito,raw,1,1,149,0.9666480330388867,27.791603889620692
MX,arx,mosquito,raw,1,2,149,0.9072951469413748,44.88929977395098
MX,arx,mosquito,raw,1,3,149,0.7939144421409715,66.50974672590799
MX,arx,mosquito,raw,1,4,149,0.6472031033320728,88.69021297971156
MX,arx,mosquito,raw,1,5,149,0.47332934873862487,113.26218920872168
MX,arx,mosquito,raw,1,6,149,0.28019072989885374,134.3447485534397
MX,arx,mosquito,raw,1,7,149,0.05545635570187846,168.75010722435366
MX,arx,mosquito,raw,1,8,149,-0.19698262101553543,192.84255391097074
MX,arx,mosquito,raw,2,1,149,0.9656364160445311,28.55808256985547
MX,arx,mosquito,raw,2,2,149,0.9076861240818956,43.86865569070698
MX,arx,mosquito,raw,2,3,149,0.7966778817609124,63.636838242592006
MX,arx,mosquito,raw,2,4,149,0.6531239034934618,84.52190508206063
MX,arx,mosquito,raw,2,5,149,0.48333759266983745,107.20123505343457
MX,arx,mosquito,raw,2,6,149,0.29635184597344,128.9650717895302
MX,arx,mosquito,raw,2,7,149,0.07960369733499673,161.65323409471623
