sample_collect_date,site,counties_served,population_served,pcr_target_avg_conc,pcr_target_flowpop_lin,pcr_target_detect
2022-09-26,346,"Chattahoochee, Muscogee",278000,9245.2672,,yes
2022-09-26,338,Fulton,190000,27459.30585,,yes
2022-09-26,337,Fulton,189593,10505.75508,,yes
2022-09-27,336,Fulton,84486,17389.48647,,yes
2022-09-27,326,Fulton,12818,0.0,,no
2022-09-27,338,Fulton,190000,34472.4611,,yes
2022-09-27,337,Fulton,189593,17620.16258,,yes
2022-09-28,346,"Chattahoochee, Muscogee",278000,12507.19109,,yes
2022-09-28,326,Fulton,12818,0.0,,no
2022-09-28,337,Fulton,189593,17518.17616,,yes
2022-09-28,338,Fulton,190000,23142.35424,,yes
2022-09-29,336,Fulton,84486,36750.37431,,yes
2022-09-30,346,"Chattahoochee, Muscogee",278000,2995.54594,,yes
2022-10-03,346,"Chattahoochee, Muscogee",278000,13490.31495,,yes
2022-10-03,326,Fulton,12818,37330.69838,,yes
2022-10-03,336,Fulton,84486,51049.24291,,yes
2022-10-03,337,Fulton,189593,40975.41451,,yes
2022-10-03,338,Fulton,190000,23655.80221,,yes
2022-10-04,326,Fulton,12818,54783.63907,,yes
2022-10-04,338,Fulton,190000,23804.9173,,yes
2022-10-04,336,Fulton,84486,93925.13373,,yes
2022-10-04,337,Fulton,189593,40807.44686,,yes
2022-10-05,336,Fulton,84486,62331.46863,,yes
2022-10-05,338,Fulton,190000,54961.81912,,yes
2022-10-05,337,Fulton,189593,15282.33422,,yes
2022-10-05,326,Fulton,12818,2981.64727,,yes
2022-10-05,346,"Chattahoochee, Muscogee",278000,58027.70058,,yes
2022-10-07,346,"Chattahoochee, Muscogee",278000,53685.30625,,yes
2022-10-10,326,Fulton,12818,6904.15341,,yes
2022-10-10,337,Fulton,189593,12681.07008,,yes
2022-10-10,346,"Chattahoochee, Muscogee",278000,29271.0321,,yes
2022-10-10,336,Fulton,84486,57673.09254,,yes
2022-10-10,338,Fulton,190000,20170.54666,,yes
2022-10-11,336,Fulton,84486,35898.53998,,yes
2022-10-11,337,Fulton,189593,81259.20997,,yes
2022-10-11,326,Fulton,12818,18231.62946,,yes
2022-10-11,338,Fulton,190000,40850.65777,,yes
2022-10-12,346,"Chattahoochee, Muscogee",278000,46646.31413,,yes
2022-10-12,337,Fulton,189593,89975.26936,,yes
2022-10-12,336,Fulton,84486,71419.84369,,yes
2022-10-12,338,Fulton,190000,62394.7559,,yes
2022-10-12,326,Fulton,12818,16091.03971,,yes
2022-10-14,346,"Chattahoochee, Muscogee",278000,92572.01136,,yes
2022-10-17,337,Fulton,189593,35592.88226,,yes
2022-10-17,338,Fulton,190000,23210.10923,,yes
2022-10-17,346,"Chattahoochee, Muscogee",278000,29863.81348,,yes
2022-10-17,336,Fulton,84486,28994.14632,,yes
2022-10-17,326,Fulton,12818,30909.19683,,yes
2022-10-18,338,Fulton,190000,29428.90915,,yes
2022-10-18,337,Fulton,189593,58274.40935,,yes
2022-10-18,326,Fulton,12818,39135.00494,,yes
2022-10-18,336,Fulton,84486,59350.82413,,yes
2022-10-19,326,Fulton,12818,24326.51567,,yes
2022-10-19,338,Fulton,190000,25961.75609,,yes
2022-10-19,336,Fulton,84486,94627.28457,,yes
2022-10-19,337,Fulton,189593,37563.85261,,yes
2022-10-19,346,"Chattahoochee, Muscogee",278000,53658.41436,,yes
2022-10-21,346,"Chattahoochee, Muscogee",278000,71403.34448,,yes
2022-10-24,346,"Chattahoochee, Muscogee",278000,57087.61454,,yes
2022-10-24,337,Fulton,189593,78757.63986,,yes
2022-10-24,326,Fulton,12818,53878.33678,,yes
2022-10-24,338,Fulton,190000,35806.52828,,yes
2022-10-24,336,Fulton,84486,55025.4186,,yes
2022-10-25,336,Fulton,84486,65268.80738,,yes
2022-10-25,326,Fulton,12818,78924.65788,,yes
2022-10-25,338,Fulton,190000,78853.07473,,yes
2022-10-25,337,Fulton,189593,82343.1614,,yes
2022-10-26,336,Fulton,84486,97889.13859,,yes
2022-10-26,346,"Chattahoochee, Muscogee",278000,17508.77948,,yes
2022-10-26,338,Fulton,190000,48415.35025,,yes
2022-10-26,337,Fulton,189593,93085.53107,,yes
2022-10-26,326,Fulton,12818,65716.29454,,yes
2022-10-28,346,"Chattahoochee, Muscogee",278000,86728.96979,,yes
2022-10-30,340,Fulton,105160,119502.22651,,yes
2022-10-30,339,Fulton,600000,56590.47071,,yes
2022-10-30,341,Fulton,70887,27855.57899,,yes
2022-10-31,337,Fulton,189593,142953.38481,,yes
2022-10-31,346,"Chattahoochee, Muscogee",278000,16304.55358,,yes
2022-10-31,326,Fulton,12818,151923.82359,,yes
2022-10-31,336,Fulton,84486,65588.14598,,yes
2022-10-31,338,Fulton,190000,67871.47836,,yes
2022-11-01,326,Fulton,12818,82891.61305,,yes
2022-11-01,337,Fulton,189593,121068.41195,,yes
2022-11-01,336,Fulton,84486,92366.41261,,yes
2022-11-01,338,Fulton,190000,49087.07423,,yes
2022-11-01,339,Fulton,600000,12911.68357,,yes
2022-11-01,341,Fulton,70887,27757.9353,,yes
2022-11-01,340,Fulton,105160,240789.05019,,yes
2022-11-02,338,Fulton,190000,62076.72401,,yes
2022-11-02,337,Fulton,189593,141087.81411,,yes
2022-11-02,336,Fulton,84486,113530.48514,,yes
2022-11-02,326,Fulton,12818,49633.24526,,yes
2022-11-02,346,"Chattahoochee, Muscogee",278000,46643.64043,,yes
2022-11-03,340,Fulton,105160,77521.80791,,yes
2022-11-03,341,Fulton,70887,30445.08121,,yes
2022-11-03,339,Fulton,600000,22492.28765,,yes
2022-11-04,346,"Chattahoochee, Muscogee",278000,30020.68746,,yes
2022-11-06,340,Fulton,105160,17836.31993,,yes
2022-11-06,341,Fulton,70887,29140.14593,,yes
2022-11-06,339,Fulton,600000,18765.02945,,yes
