date,influenza,flu,fever
2025-04-06,3,19,26
2025-04-13,2,16,29
2025-04-20,2,17,28
2025-04-27,2,14,31
2025-05-04,2,14,37
2025-05-11,2,13,38
2025-05-18,2,12,63
2025-05-25,2,12,44
2025-06-01,1,10,37
2025-06-08,1,9,48
2025-06-15,1,9,58
2025-06-22,1,9,62
2025-06-29,1,9,51
2025-07-06,1,10,51
2025-07-13,1,9,53
2025-07-20,2,10,40
2025-07-27,3,9,48
2025-08-03,1,10,46
2025-08-10,1,11,42
2025-08-17,1,14,40
2025-08-24,1,16,43
2025-08-31,1,20,40
2025-09-07,2,21,31
2025-09-14,2,24,40
2025-09-21,2,25,48
2025-09-28,2,29,46
2025-10-05,2,28,24
2025-10-12,2,29,24
2025-10-19,2,28,26
2025-10-26,2,26,23
2025-11-02,3,27,27
2025-11-09,3,26,28
2025-11-16,3,29,31
2025-11-23,4,29,27
2025-11-30,4,32,30
2025-12-07,6,40,33
2025-12-14,10,63,40
2025-12-21,14,98,49
2025-12-28,14,100,41
2026-01-04,11,83,36
2026-01-11,7,52,33
2026-01-18,7,46,35
2026-01-25,7,39,36
2026-02-01,8,38,39
2026-02-08,7,41,37
2026-02-15,8,42,37
2026-02-22,7,35,37
2026-03-01,7,32,36
2026-03-08,6,28,35
2026-03-15,5,24,35
2026-03-22,5,22,34
2026-03-29,4,21,34
2026-04-05,4,20,36
2026-04-12,3,17,37
2026-04-19,3,17,38
2026-04-26,3,15,42
2026-05-03,3,16,47
2026-05-10,3,16,52
2026-05-17,3,13,56
2026-05-24,3,13,54
2026-05-31,4,13,59
2026-06-07,5,13,69
2026-06-14,6,13,69
2026-06-21,4,13,58
2026-06-28,3,9,41
2026-07-05,2,9,51
2026-07-12,2,9,56
2026-07-19,1,7,67
