geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,lambda,n_nonzero_search,train_n,reporting_lag,transform,case_lags
MX,2019-02-03,2019-03-03,2019-03-03,4,793,355.1233341551808,55.21773844196963,ar,NA,0,214,4,log1p,"1,2,3,52,104"
MX,2019-02-03,2019-03-03,2019-02-10,1,776,637.256647753387,17.87929796992435,argo,0.08385662231605918,1,214,4,log1p,"1,2,3,52,104"
MX,2019-02-03,2019-03-03,2019-02-17,2,829,604.6317053159058,27.064933013762865,argo,0.08385662231605918,1,214,4,log1p,"1,2,3,52,104"
MX,2019-02-03,2019-03-03,2019-02-24,3,835,579.8227793216586,30.560146189022923,argo,0.08385662231605918,1,214,4,log1p,"1,2,3,52,104"
MX,2019-02-03,2019-03-03,2019-03-03,4,793,570.2998954578375,28.083241430285312,argo,0.08385662231605918,1,214,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-02-17,1,829,528.8629775922969,36.20470716618855,ar,NA,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-02-24,2,835,437.1845971634497,47.64256321395812,ar,NA,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-03-03,3,793,406.45497293957476,48.7446440177081,ar,NA,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-03-10,4,959,381.1569151207391,60.25475337635672,ar,NA,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-02-17,1,829,722.9227324337041,12.795810321627968,argo,0.09032816522835208,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-02-24,2,835,697.8749678278201,16.42215954157843,argo,0.09032816522835208,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-03-03,3,793,678.2525041691665,14.470049915615824,argo,0.09032816522835208,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-10,2019-03-10,2019-03-10,4,959,660.8309348186355,31.09166477386492,argo,0.09032816522835208,0,215,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-02-24,1,835,563.5009701600852,32.514853873043684,ar,NA,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-03-03,2,793,487.0070357566737,38.58675463345855,ar,NA,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-03-10,3,959,429.60905628268347,55.202392462702456,ar,NA,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-03-17,4,669,387.40017346724636,42.09264970594225,ar,NA,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-02-24,1,835,800.6495832123369,4.113822369780014,argo,0.09768480876344884,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-03-03,2,793,786.4756187366833,0.8227466914649105,argo,0.09768480876344884,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-03-10,3,959,767.5243422719903,19.966179116580776,argo,0.09768480876344884,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-17,2019-03-17,2019-03-17,4,669,749.3746737537223,12.014151532693914,argo,0.09768480876344884,0,216,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-03,1,793,609.9463468689668,23.083688919424112,ar,NA,0,217,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-10,2,959,505.4009842737029,47.29916743757009,ar,NA,0,217,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-17,3,669,431.6318641781538,35.48103674467058,ar,NA,0,217,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-24,4,826,340.1065897062064,58.824868074309144,ar,NA,0,217,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-03,1,793,859.7110927139744,8.412495928622242,argo,0.11651889046835001,0,217,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-10,2,959,878.3973982480672,8.404859411046168,argo,0.11651889046835001,0,217,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-17,3,669,897.2231758009818,34.114077100296235,argo,0.11651889046835001,0,217,4,log1p,"1,2,3,52,104"
MX,2019-02-24,2019-03-24,2019-03-24,4,826,914.1627488987109,10.673456283136913,argo,0.11651889046835001,0,217,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-10,1,959,587.9300740675441,38.69342293351991,ar,NA,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-17,2,669,482.003196874585,27.951689555368457,ar,NA,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-24,3,826,366.42008040478515,55.63921544736258,ar,NA,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-31,4,996,353.4300607408461,64.51505414248533,ar,NA,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-10,1,959,819.6480331068558,14.530966307939961,argo,0.11593313736631355,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-17,2,669,837.4858961150309,25.184737834832717,argo,0.11593313736631355,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-24,3,826,858.9235199090635,3.985898294075489,argo,0.11593313736631355,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-03,2019-03-31,2019-03-31,4,996,877.9653489192902,11.850868582400578,argo,0.11593313736631355,0,218,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-03-17,1,669,641.3553238941419,4.132238580845761,ar,NA,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-03-24,2,826,453.9026658957531,45.048103402451204,ar,NA,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-03-31,3,996,406.9707513202336,59.13948279917334,ar,NA,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-04-07,4,976,379.75343155137796,61.09083693121128,ar,NA,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-03-17,1,669,957.9938245249099,43.19788109490432,argo,0.11381088958704406,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-03-24,2,826,981.8764410425505,18.871239835659864,argo,0.11381088958704406,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-03-31,3,996,990.832710811244,0.5188041354172634,argo,0.11381088958704406,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-10,2019-04-07,2019-04-07,4,976,1001.4426040013594,2.6068241804671546,argo,0.11381088958704406,0,219,4,log1p,"1,2,3,52,104"
MX,2019-03-17,2019-04-14,2019-03-24,1,826,465.3894261044591,43.657454466772506,ar,NA,0,220,4,log1p,"1,2,3,52,104"
MX,2019-03-17,2019-04-14,2019-03-31,2,996,414.4769536222763,58.38584802989193,ar,NA,0,220,4,log1p,"1,2,3,52,104"
