geo,origin_week,calendar_week,model,train_n,reporting_lag,n_leads,R2,MAPE,lambda,n_nonzero_search
MX,2018-09-23,2018-10-21,argo,195,4,4,-5.415466977692687,16.54402724157594,0.010753898416132066,4
MX,2018-09-30,2018-10-28,ar,196,4,4,-1.6532426125591102,16.17306859769062,NA,0
MX,2018-09-30,2018-10-28,argo,196,4,4,-1.2988541264626239,15.669193204194348,0.012761615283816067,4
MX,2018-10-07,2018-11-04,ar,197,4,4,-0.20757358062863718,10.511894743720172,NA,0
MX,2018-10-07,2018-11-04,argo,197,4,4,-0.15855042627349336,11.337049874566778,0.007899865699030513,6
MX,2018-10-14,2018-11-11,ar,198,4,4,0.5381582540548019,6.703332117515462,NA,0
MX,2018-10-14,2018-11-11,argo,198,4,4,0.4829458904035765,7.4906824131687655,0.0036883295444676296,10
MX,2018-10-21,2018-11-18,ar,199,4,4,0.7617193957585356,10.88777040419011,NA,0
MX,2018-10-21,2018-11-18,argo,199,4,4,0.8534989826391438,8.017754334978326,0.012163487256455205,4
MX,2018-10-28,2018-11-25,ar,200,4,4,0.8145762493812535,12.66286539228673,NA,0
MX,2018-10-28,2018-11-25,argo,200,4,4,0.8742015589843277,11.075726776906551,0.014494139332057098,4
MX,2018-11-04,2018-12-02,ar,201,4,4,0.6196213151546025,17.543936546631922,NA,0
MX,2018-11-04,2018-12-02,argo,201,4,4,0.7018555092005421,14.704358147913899,0.015731218010883737,4
MX,2018-11-11,2018-12-09,ar,202,4,4,-1.5031108659037433,22.33264468498641,NA,0
MX,2018-11-11,2018-12-09,argo,202,4,4,-0.8036745483475793,18.341015233960565,0.015506136169173587,4
MX,2018-11-18,2018-12-16,ar,203,4,4,-0.97478289128009,30.666330147483915,NA,0
MX,2018-11-18,2018-12-16,argo,203,4,4,-0.9892745975240564,30.328605510065575,0.002929304193114728,10
MX,2018-11-25,2018-12-23,ar,204,4,4,-0.05716900437376249,42.42418926266276,NA,0
MX,2018-11-25,2018-12-23,argo,204,4,4,-0.00326219643336767,40.69834821730969,0.003195247392888271,10
MX,2018-12-02,2018-12-30,ar,205,4,4,0.4850848598082307,35.16985820144186,NA,0
MX,2018-12-02,2018-12-30,argo,205,4,4,0.7013736093624936,44.57407089463098,0.0169568622441534,4
MX,2018-12-09,2019-01-06,ar,206,4,4,-0.06160904825037816,44.55175583038159,NA,0
MX,2018-12-09,2019-01-06,argo,206,4,4,0.3206956870878076,61.35579959706868,0.02463620428263182,4
MX,2018-12-16,2019-01-13,ar,207,4,4,-1.4268215554127774,61.311318961699676,NA,0
MX,2018-12-16,2019-01-13,argo,207,4,4,-0.7945911917308914,114.66453738569331,0.04122677925341823,3
MX,2018-12-23,2019-01-20,ar,208,4,4,-2.1724695036060044,81.6257755721866,NA,0
MX,2018-12-23,2019-01-20,argo,208,4,4,-1.1813030300461134,117.96411843507586,0.06555726946788108,1
MX,2018-12-30,2019-01-27,ar,209,4,4,-115.25866224319695,83.92497915080034,NA,0
MX,2018-12-30,2019-01-27,argo,209,4,4,-121.58623683438871,86.14257489651808,0.052174928726055905,1
MX,2019-01-06,2019-02-03,ar,210,4,4,-87.8440757903762,70.42195684569609,NA,0
MX,2019-01-06,2019-02-03,argo,210,4,4,-51.61598248147395,53.980790846607285,0.0675041610646564,2
MX,2019-01-13,2019-02-10,ar,211,4,4,-80.57301100828074,63.01287314096853,NA,0
MX,2019-01-13,2019-02-10,argo,211,4,4,-13.321571492407468,25.47179780606113,0.07725492513099524,1
MX,2019-01-20,2019-02-17,ar,212,4,4,-82.48649884457171,54.83849388262287,NA,0
MX,2019-01-20,2019-02-17,argo,212,4,4,-16.677943582781015,21.867309688152332,0.07723859313457487,1
MX,2019-01-27,2019-02-24,ar,213,4,4,-61.467564293800564,53.591983827557186,NA,0
MX,2019-01-27,2019-02-24,argo,213,4,4,-12.659064665535656,22.411271233587797,0.0844549113955656,1
MX,2019-02-03,2019-03-03,ar,214,4,4,-290.6636118625752,51.232766643866626,NA,0
MX,2019-02-03,2019-03-03,argo,214,4,4,-75.19704391453821,25.896904650748866,0.08385662231605918,1
MX,2019-02-10,2019-03-10,ar,215,4,4,-45.507692324033464,48.21166694355287,NA,0
MX,2019-02-10,2019-03-10,argo,215,4,4,-7.3986422815362864,18.694921138171786,0.09032816522835208,0
MX,2019-02-17,2019-03-17,ar,216,4,4,-11.272818665881406,42.09916266878673,NA,0
MX,2019-02-17,2019-03-17,argo,216,4,4,-0.032924959651227104,9.229224927629904,0.09768480876344884,0
MX,2019-02-24,2019-03-24,ar,217,4,4,-11.47682422313761,41.17219029399348,NA,0
MX,2019-02-24,2019-03-24,argo,217,4,4,-0.6615288736021252,15.40122218077539,0.11651889046835001,0
